decanoic acid_concentration (mM),decanoate_concentration (mM),decylamine_concentration (mM),decyl trimethylamine_concentration (mM),decylsulfate_concentration (mM),decanol_concentration (mM),monocaprin_concentration (mM)
4.311170587503868,3.281793381574619,4.7398705970615,0.17961229410727772,2.146114637121064,1.2626735572053214,0.9949798695389002
3.274980710286217,4.367125914871687,4.511780072577017,4.084742614920432,4.684635316259874,0.0026918261599360744,0.842084170063842
4.794066197730045,2.095027975812903,3.841635001187857,3.8022335811196712,0.37430443140394115,0.9850111351555461,0.1638409612008192
0.02987250882758338,4.838432687052315,4.638212242638138,0.4736392291848096,0.15531234552389922,0.5618950226941819,0.1932509565784658
2.6155333072656433,2.879388418702381,0.12492394642853283,3.5706233863655674,0.3241330313079299,1.4208470691831168,0.9726888707643319
3.5342026793762615,4.611862563040527,0.13144916778337043,0.020869332299687016,0.2375051403898094,0.9404765572927298,0.022046027979606017
0.16277357657383842,0.23969604893570048,4.131532793542506,0.06281648617320582,3.651852494946073,1.3850305862328254,0.9759036137854883
3.5593515889023273,0.9401012248205426,0.0789587609760242,0.055104576402979936,4.771724713189707,1.0635965399340865,0.941862426108272
2.9043179041952283,4.249046115456476,2.855509565642319,0.11437022762021366,2.861172633626944,0.11486684838531441,0.2125161354365472
0.11177195594978243,3.5610109006471804,4.149276081953149,4.767117681167485,2.4526610685995087,1.1832140415628982,0.6888137943535305
2.987692829957646,0.3226611038556969,3.3950568046282115,0.7969656419680976,4.53168508120197,1.3621271571196076,0.11302689460905704
1.0041029959552776,0.005507815344432673,3.9713169301233595,2.4346554084264973,0.18012734680205061,1.2048475848068414,0.770595257451931
